name,ability,hp,atk,def,spdef,spatk,spd,gender,evolution_level,evolves_into,method,egg_group
hitmontop,"intimidate, technician, steadfast",50,95,95,110,35,70,Male only,20,hitmonlee,level-up,"humanshape"
smoochum,"oblivious, forewarn, hydration",45,30,15,65,85,65,Female only,30,jynx,level-up,"no-eggs"
elekid,"static, vital-spirit",45,63,37,55,65,95,75% Male, 25% Female,30,electabuzz,level-up,"no-eggs"
magby,"flame-body, vital-spirit",45,75,37,55,70,83,75% Male, 25% Female,30,magmar,level-up,"no-eggs"
miltank,"thick-fat, scrappy, sap-sipper",95,80,105,70,40,100,Female only,,,,"ground"
blissey,"natural-cure, serene-grace, healer",255,10,10,135,75,55,Female only,,chansey,level-up,"fairy"
raikou,"pressure, inner-focus",90,85,75,100,115,115,Genderless,,,,"no-eggs"
entei,"pressure, inner-focus",115,115,85,75,90,100,Genderless,,,,"no-eggs"
suicune,"pressure, inner-focus",100,75,115,115,90,85,Genderless,,,,"no-eggs"
larvitar,"guts, sand-veil",50,64,50,50,45,41,50% Male, 50% Female,30,pupitar,level-up,"monster"
pupitar,"shed-skin",70,84,70,70,65,51,50% Male, 50% Female,30,pupitar,level-up,"monster"
tyranitar,"sand-stream, unnerve",100,134,110,100,95,61,50% Male, 50% Female,30,pupitar,level-up,"monster"
lugia,"pressure, multiscale",106,90,130,154,90,110,Genderless,,,,"no-eggs"
ho-oh,"pressure, regenerator",106,130,90,154,110,90,Genderless,,,,"no-eggs"
celebi,"natural-cure",100,100,100,100,100,100,Genderless,,,,"no-eggs"
treecko,"overgrow, unburden",40,45,35,55,65,70,87.5% Male, 12.5% Female,16,grovyle,level-up,"monster, dragon"
grovyle,"overgrow, unburden",50,65,45,65,85,95,87.5% Male, 12.5% Female,16,grovyle,level-up,"monster, dragon"
sceptile,"overgrow, unburden",70,85,65,85,105,120,87.5% Male, 12.5% Female,16,grovyle,level-up,"monster, dragon"
torchic,"blaze, speed-boost",45,60,40,50,70,45,87.5% Male, 12.5% Female,16,combusken,level-up,"ground"
combusken,"blaze, speed-boost",60,85,60,60,85,55,87.5% Male, 12.5% Female,16,combusken,level-up,"ground"
blaziken,"blaze, speed-boost",80,120,70,70,110,80,87.5% Male, 12.5% Female,16,combusken,level-up,"ground"
mudkip,"torrent, damp",50,70,50,50,50,40,87.5% Male, 12.5% Female,16,marshtomp,level-up,"monster, water1"
marshtomp,"torrent, damp",70,85,70,70,60,50,87.5% Male, 12.5% Female,16,marshtomp,level-up,"monster, water1"
swampert,"torrent, damp",100,110,90,90,85,60,87.5% Male, 12.5% Female,16,marshtomp,level-up,"monster, water1"
poochyena,"run-away, quick-feet, rattled",35,55,35,30,30,35,50% Male, 50% Female,18,mightyena,level-up,"ground"
mightyena,"intimidate, quick-feet, moxie",70,90,70,60,60,70,50% Male, 50% Female,18,mightyena,level-up,"ground"
zigzagoon,"pickup, gluttony, quick-feet",38,30,41,41,30,60,50% Male, 50% Female,20,linoone,level-up,"ground"
linoone,"pickup, gluttony, quick-feet",78,70,61,61,50,100,50% Male, 50% Female,20,linoone,level-up,"ground"
wurmple,"shield-dust, run-away",45,45,35,30,20,20,50% Male, 50% Female,7,silcoon,level-up,"bug"
silcoon,"shed-skin",50,35,55,25,25,15,50% Male, 50% Female,7,silcoon,level-up,"bug"
beautifly,"swarm, rivalry",60,70,50,50,100,65,50% Male, 50% Female,7,silcoon,level-up,"bug"
cascoon,"shed-skin",50,35,55,25,25,15,50% Male, 50% Female,7,silcoon,level-up,"bug"
dustox,"shield-dust, compound-eyes",60,50,70,90,50,65,50% Male, 50% Female,7,silcoon,level-up,"bug"
lotad,"swift-swim, rain-dish, own-tempo",40,30,30,50,40,30,50% Male, 50% Female,14,lombre,level-up,"water1, plant"
lombre,"swift-swim, rain-dish, own-tempo",60,50,50,70,60,50,50% Male, 50% Female,14,lombre,level-up,"water1, plant"
ludicolo,"swift-swim, rain-dish, own-tempo",80,70,70,100,90,70,50% Male, 50% Female,14,lombre,level-up,"water1, plant"
seedot,"chlorophyll, early-bird, pickpocket",40,40,50,30,30,30,50% Male, 50% Female,14,nuzleaf,level-up,"ground, plant"
nuzleaf,"chlorophyll, early-bird, pickpocket",70,70,40,40,60,60,50% Male, 50% Female,14,nuzleaf,level-up,"ground, plant"
shiftry,"chlorophyll, wind-rider, pickpocket",90,100,60,60,90,80,50% Male, 50% Female,14,nuzleaf,level-up,"ground, plant"
taillow,"guts, scrappy",40,55,30,30,30,85,50% Male, 50% Female,22,swellow,level-up,"flying"
swellow,"guts, scrappy",60,85,60,50,75,125,50% Male, 50% Female,22,swellow,level-up,"flying"
wingull,"keen-eye, hydration, rain-dish",40,30,30,30,55,85,50% Male, 50% Female,25,pelipper,level-up,"water1, flying"
pelipper,"keen-eye, drizzle, rain-dish",60,50,100,70,95,65,50% Male, 50% Female,25,pelipper,level-up,"water1, flying"
ralts,"synchronize, trace, telepathy",28,25,25,35,45,40,50% Male, 50% Female,20,kirlia,level-up,"humanshape, indeterminate"
kirlia,"synchronize, trace, telepathy",38,35,35,55,65,50,50% Male, 50% Female,20,kirlia,level-up,"humanshape, indeterminate"
gardevoir,"synchronize, trace, telepathy",68,65,65,115,125,80,50% Male, 50% Female,20,kirlia,level-up,"humanshape, indeterminate"
surskit,"swift-swim, rain-dish",40,30,32,52,50,65,50% Male, 50% Female,22,masquerain,level-up,"water1, bug"
masquerain,"intimidate, unnerve",70,60,62,82,100,80,50% Male, 50% Female,22,masquerain,level-up,"water1, bug"
shroomish,"effect-spore, poison-heal, quick-feet",60,40,60,60,40,35,50% Male, 50% Female,23,breloom,level-up,"fairy, plant"
breloom,"effect-spore, poison-heal, technician",60,130,80,60,60,70,50% Male, 50% Female,23,breloom,level-up,"fairy, plant"
slakoth,"truant",60,60,60,35,35,30,50% Male, 50% Female,18,vigoroth,level-up,"ground"
vigoroth,"vital-spirit",80,80,80,55,55,90,50% Male, 50% Female,18,vigoroth,level-up,"ground"
slaking,"truant",150,160,100,65,95,100,50% Male, 50% Female,18,vigoroth,level-up,"ground"
nincada,"compound-eyes, run-away",31,45,90,30,30,40,50% Male, 50% Female,20,ninjask,level-up,"bug"
ninjask,"speed-boost, infiltrator",61,90,45,50,50,160,50% Male, 50% Female,20,ninjask,level-up,"bug"
shedinja,"wonder-guard",1,90,45,30,30,40,Genderless,20,ninjask,level-up,"mineral"
whismur,"soundproof, rattled",64,51,23,23,51,28,50% Male, 50% Female,20,loudred,level-up,"monster, ground"
loudred,"soundproof, scrappy",84,71,43,43,71,48,50% Male, 50% Female,20,loudred,level-up,"monster, ground"
exploud,"soundproof, scrappy",104,91,63,73,91,68,50% Male, 50% Female,20,loudred,level-up,"monster, ground"
makuhita,"thick-fat, guts, sheer-force",72,60,30,30,20,25,75% Male, 25% Female,24,hariyama,level-up,"humanshape"
hariyama,"thick-fat, guts, sheer-force",144,120,60,60,40,50,75% Male, 25% Female,24,hariyama,level-up,"humanshape"
azurill,"thick-fat, huge-power, sap-sipper",50,20,40,40,20,20,25% Male, 75% Female,,marill,level-up,"no-eggs"
nosepass,"sturdy, magnet-pull, sand-force",30,45,135,90,45,30,50% Male, 50% Female,,probopass,level-up,"mineral"
skitty,"cute-charm, normalize, wonder-skin",50,45,45,35,35,50,25% Male, 75% Female,,delcatty,use-item,"ground, fairy"
delcatty,"cute-charm, normalize, wonder-skin",70,65,65,55,55,90,25% Male, 75% Female,,delcatty,use-item,"ground, fairy"
sableye,"keen-eye, stall, prankster",50,75,75,65,65,50,50% Male, 50% Female,,,,"humanshape"
mawile,"hyper-cutter, intimidate, sheer-force",50,85,85,55,55,50,50% Male, 50% Female,,,,"ground, fairy"
aron,"sturdy, rock-head, heavy-metal",50,70,100,40,40,30,50% Male, 50% Female,32,lairon,level-up,"monster"
lairon,"sturdy, rock-head, heavy-metal",60,90,140,50,50,40,50% Male, 50% Female,32,lairon,level-up,"monster"
aggron,"sturdy, rock-head, heavy-metal",70,110,180,60,60,50,50% Male, 50% Female,32,lairon,level-up,"monster"
meditite,"pure-power, telepathy",30,40,55,55,40,60,50% Male, 50% Female,37,medicham,level-up,"humanshape"
medicham,"pure-power, telepathy",60,60,75,75,60,80,50% Male, 50% Female,37,medicham,level-up,"humanshape"
electrike,"static, lightning-rod, minus",40,45,40,40,65,65,50% Male, 50% Female,26,manectric,level-up,"ground"
manectric,"static, lightning-rod, minus",70,75,60,60,105,105,50% Male, 50% Female,26,manectric,level-up,"ground"
plusle,"plus, lightning-rod",60,50,40,75,85,95,50% Male, 50% Female,,,,"fairy"
minun,"minus, volt-absorb",60,40,50,85,75,95,50% Male, 50% Female,,,,"fairy"
volbeat,"illuminate, swarm, prankster",65,73,75,85,47,85,Male only,,,,"bug, humanshape"
illumise,"oblivious, tinted-lens, prankster",65,47,75,85,73,85,Female only,,,,"bug, humanshape"
roselia,"natural-cure, poison-point, leaf-guard",50,60,45,80,100,65,50% Male, 50% Female,,roselia,level-up,"fairy, plant"
gulpin,"liquid-ooze, sticky-hold, gluttony",70,43,53,53,43,40,50% Male, 50% Female,26,swalot,level-up,"indeterminate"
swalot,"liquid-ooze, sticky-hold, gluttony",100,73,83,83,73,55,50% Male, 50% Female,26,swalot,level-up,"indeterminate"
carvanha,"rough-skin, speed-boost",45,90,20,20,65,65,50% Male, 50% Female,30,sharpedo,level-up,"water2"
sharpedo,"rough-skin, speed-boost",70,120,40,40,95,95,50% Male, 50% Female,30,sharpedo,level-up,"water2"
wailmer,"water-veil, oblivious, pressure",130,70,35,35,70,60,50% Male, 50% Female,40,wailord,level-up,"ground, water2"
wailord,"water-veil, oblivious, pressure",170,90,45,45,90,60,50% Male, 50% Female,40,wailord,level-up,"ground, water2"
numel,"oblivious, simple, own-tempo",60,60,40,45,65,35,50% Male, 50% Female,33,camerupt,level-up,"ground"
camerupt,"magma-armor, solid-rock, anger-point",70,100,70,75,105,40,50% Male, 50% Female,33,camerupt,level-up,"ground"
torkoal,"white-smoke, drought, shell-armor",70,85,140,70,85,20,50% Male, 50% Female,,,,"ground"
spoink,"thick-fat, own-tempo, gluttony",60,25,35,80,70,60,50% Male, 50% Female,32,grumpig,level-up,"ground"
grumpig,"thick-fat, own-tempo, gluttony",80,45,65,110,90,80,50% Male, 50% Female,32,grumpig,level-up,"ground"
spinda,"own-tempo, tangled-feet, contrary",60,60,60,60,60,60,50% Male, 50% Female,,,,"ground, humanshape"
trapinch,"hyper-cutter, arena-trap, sheer-force",45,100,45,45,45,10,50% Male, 50% Female,35,vibrava,level-up,"bug, dragon"
vibrava,"levitate",50,70,50,50,50,70,50% Male, 50% Female,35,vibrava,level-up,"bug, dragon"
flygon,"levitate",80,100,80,80,80,100,50% Male, 50% Female,35,vibrava,level-up,"bug, dragon"
cacnea,"sand-veil, water-absorb",50,85,40,40,85,35,50% Male, 50% Female,32,cacturne,level-up,"plant, humanshape"
cacturne,"sand-veil, water-absorb",70,115,60,60,115,55,50% Male, 50% Female,32,cacturne,level-up,"plant, humanshape"
swablu,"natural-cure, cloud-nine",45,40,60,75,40,50,50% Male, 50% Female,35,altaria,level-up,"flying, dragon"
altaria,"natural-cure, cloud-nine",75,70,90,105,70,80,50% Male, 50% Female,35,altaria,level-up,"flying, dragon"
zangoose,"immunity, toxic-boost",73,115,60,60,60,90,50% Male, 50% Female,,,,"ground"
seviper,"shed-skin, infiltrator",73,100,60,60,100,65,50% Male, 50% Female,,,,"ground, dragon"
lunatone,"levitate",90,55,65,85,95,70,Genderless,,,,"mineral"
solrock,"levitate",90,95,85,65,55,70,Genderless,,,,"mineral"
barboach,"oblivious, anticipation, hydration",50,48,43,41,46,60,50% Male, 50% Female,30,whiscash,level-up,"water2"
whiscash,"oblivious, anticipation, hydration",110,78,73,71,76,60,50% Male, 50% Female,30,whiscash,level-up,"water2"
corphish,"hyper-cutter, shell-armor, adaptability",43,80,65,35,50,35,50% Male, 50% Female,30,crawdaunt,level-up,"water1, water3"
crawdaunt,"hyper-cutter, shell-armor, adaptability",63,120,85,55,90,55,50% Male, 50% Female,30,crawdaunt,level-up,"water1, water3"
baltoy,"levitate",40,40,55,70,40,55,Genderless,36,claydol,level-up,"mineral"
claydol,"levitate",60,70,105,120,70,75,Genderless,36,claydol,level-up,"mineral"
lileep,"suction-cups, storm-drain",66,41,77,87,61,23,87.5% Male, 12.5% Female,40,cradily,level-up,"water3"
cradily,"suction-cups, storm-drain",86,81,97,107,81,43,87.5% Male, 12.5% Female,40,cradily,level-up,"water3"
anorith,"battle-armor, swift-swim",45,95,50,50,40,75,87.5% Male, 12.5% Female,40,armaldo,level-up,"water3"
armaldo,"battle-armor, swift-swim",75,125,100,80,70,45,87.5% Male, 12.5% Female,40,armaldo,level-up,"water3"
feebas,"swift-swim, oblivious, adaptability",20,15,20,55,10,80,50% Male, 50% Female,,milotic,level-up,"water1, dragon"
milotic,"marvel-scale, competitive, cute-charm",95,60,79,125,100,81,50% Male, 50% Female,,milotic,level-up,"water1, dragon"
castform,"forecast",70,70,70,70,70,70,50% Male, 50% Female,,,,"fairy, indeterminate"
kecleon,"color-change, protean",60,90,70,120,60,40,50% Male, 50% Female,,,,"ground"
shuppet,"insomnia, frisk, cursed-body",44,75,35,33,63,45,50% Male, 50% Female,37,banette,level-up,"indeterminate"
banette,"insomnia, frisk, cursed-body",64,115,65,63,83,65,50% Male, 50% Female,37,banette,level-up,"indeterminate"
duskull,"levitate, frisk",20,40,90,90,30,25,50% Male, 50% Female,37,dusclops,level-up,"indeterminate"
dusclops,"pressure, frisk",40,70,130,130,60,25,50% Male, 50% Female,37,dusclops,level-up,"indeterminate"
tropius,"chlorophyll, solar-power, harvest",99,68,83,87,72,51,50% Male, 50% Female,,,,"monster, plant"
chimecho,"levitate",75,50,80,90,95,65,50% Male, 50% Female,,chimecho,level-up,"indeterminate"
absol,"pressure, super-luck, justified",65,130,60,60,75,75,50% Male, 50% Female,,,,"ground"
wynaut,"shadow-tag, telepathy",95,23,48,48,23,23,50% Male, 50% Female,15,wobbuffet,level-up,"no-eggs"
snorunt,"inner-focus, ice-body, moody",50,50,50,50,50,50,50% Male, 50% Female,42,glalie,level-up,"fairy, mineral"
glalie,"inner-focus, ice-body, moody",80,80,80,80,80,80,50% Male, 50% Female,42,glalie,level-up,"fairy, mineral"
spheal,"thick-fat, ice-body, oblivious",70,40,50,50,55,25,50% Male, 50% Female,32,sealeo,level-up,"water1, ground"
sealeo,"thick-fat, ice-body, oblivious",90,60,70,70,75,45,50% Male, 50% Female,32,sealeo,level-up,"water1, ground"
walrein,"thick-fat, ice-body, oblivious",110,80,90,90,95,65,50% Male, 50% Female,32,sealeo,level-up,"water1, ground"
clamperl,"shell-armor, rattled",35,64,85,55,74,32,50% Male, 50% Female,,huntail,trade,"water1"
huntail,"swift-swim, water-veil",55,104,105,75,94,52,50% Male, 50% Female,,huntail,trade,"water1"
gorebyss,"swift-swim, hydration",55,84,105,75,114,52,50% Male, 50% Female,,huntail,trade,"water1"
relicanth,"swift-swim, rock-head, sturdy",100,90,130,65,45,55,87.5% Male, 12.5% Female,,,,"water1, water2"
luvdisc,"swift-swim, hydration",43,30,55,65,40,97,25% Male, 75% Female,,,,"water2"
bagon,"rock-head, sheer-force",45,75,60,30,40,50,50% Male, 50% Female,30,shelgon,level-up,"dragon"
shelgon,"rock-head, overcoat",65,95,100,50,60,50,50% Male, 50% Female,30,shelgon,level-up,"dragon"
salamence,"intimidate, moxie",95,135,80,80,110,100,50% Male, 50% Female,30,shelgon,level-up,"dragon"
beldum,"clear-body, light-metal",40,55,80,60,35,30,Genderless,20,metang,level-up,"mineral"
metang,"clear-body, light-metal",60,75,100,80,55,50,Genderless,20,metang,level-up,"mineral"
metagross,"clear-body, light-metal",80,135,130,90,95,70,Genderless,20,metang,level-up,"mineral"
regirock,"clear-body, sturdy",80,100,200,100,50,50,Genderless,,,,"no-eggs"
regice,"clear-body, ice-body",80,50,100,200,100,50,Genderless,,,,"no-eggs"
registeel,"clear-body, light-metal",80,75,150,150,75,50,Genderless,,,,"no-eggs"
latias,"levitate",80,80,90,130,110,110,Female only,,,,"no-eggs"
latios,"levitate",80,90,80,110,130,110,Male only,,,,"no-eggs"
kyogre,"drizzle",100,100,90,140,150,90,Genderless,,,,"no-eggs"
groudon,"drought",100,150,140,90,100,90,Genderless,,,,"no-eggs"
rayquaza,"air-lock",105,150,90,90,150,95,Genderless,,,,"no-eggs"
jirachi,"serene-grace",100,100,100,100,100,100,Genderless,,,,"no-eggs"
deoxys-normal,"pressure",50,150,50,50,150,150,Genderless,,,,"no-eggs"
turtwig,"overgrow, shell-armor",55,68,64,55,45,31,87.5% Male, 12.5% Female,18,grotle,level-up,"monster, plant"
grotle,"overgrow, shell-armor",75,89,85,65,55,36,87.5% Male, 12.5% Female,18,grotle,level-up,"monster, plant"
torterra,"overgrow, shell-armor",95,109,105,85,75,56,87.5% Male, 12.5% Female,18,grotle,level-up,"monster, plant"
chimchar,"blaze, iron-fist",44,58,44,44,58,61,87.5% Male, 12.5% Female,14,monferno,level-up,"ground, humanshape"
monferno,"blaze, iron-fist",64,78,52,52,78,81,87.5% Male, 12.5% Female,14,monferno,level-up,"ground, humanshape"
infernape,"blaze, iron-fist",76,104,71,71,104,108,87.5% Male, 12.5% Female,14,monferno,level-up,"ground, humanshape"
piplup,"torrent, competitive",53,51,53,56,61,40,87.5% Male, 12.5% Female,16,prinplup,level-up,"water1, ground"
prinplup,"torrent, competitive",64,66,68,76,81,50,87.5% Male, 12.5% Female,16,prinplup,level-up,"water1, ground"
empoleon,"torrent, competitive",84,86,88,101,111,60,87.5% Male, 12.5% Female,16,prinplup,level-up,"water1, ground"
starly,"keen-eye, reckless",40,55,30,30,30,60,50% Male, 50% Female,14,staravia,level-up,"flying"
staravia,"intimidate, reckless",55,75,50,40,40,80,50% Male, 50% Female,14,staravia,level-up,"flying"
staraptor,"intimidate, reckless",85,120,70,60,50,100,50% Male, 50% Female,14,staravia,level-up,"flying"
bidoof,"simple, unaware, moody",59,45,40,40,35,31,50% Male, 50% Female,15,bibarel,level-up,"water1, ground"
bibarel,"simple, unaware, moody",79,85,60,60,55,71,50% Male, 50% Female,15,bibarel,level-up,"water1, ground"
kricketot,"shed-skin, run-away",37,25,41,41,25,25,50% Male, 50% Female,10,kricketune,level-up,"bug"
kricketune,"swarm, technician",77,85,51,51,55,65,50% Male, 50% Female,10,kricketune,level-up,"bug"
shinx,"rivalry, intimidate, guts",45,65,34,34,40,45,50% Male, 50% Female,15,luxio,level-up,"ground"
luxio,"rivalry, intimidate, guts",60,85,49,49,60,60,50% Male, 50% Female,15,luxio,level-up,"ground"
luxray,"rivalry, intimidate, guts",80,120,79,79,95,70,50% Male, 50% Female,15,luxio,level-up,"ground"
budew,"natural-cure, poison-point, leaf-guard",40,30,35,70,50,55,50% Male, 50% Female,,roselia,level-up,"no-eggs"
roserade,"natural-cure, poison-point, technician",60,70,65,105,125,90,50% Male, 50% Female,,roselia,level-up,"fairy, plant"
cranidos,"mold-breaker, sheer-force",67,125,40,30,30,58,87.5% Male, 12.5% Female,30,rampardos,level-up,"monster"
rampardos,"mold-breaker, sheer-force",97,165,60,50,65,58,87.5% Male, 12.5% Female,30,rampardos,level-up,"monster"
shieldon,"sturdy, soundproof",30,42,118,88,42,30,87.5% Male, 12.5% Female,30,bastiodon,level-up,"monster"
bastiodon,"sturdy, soundproof",60,52,168,138,47,30,87.5% Male, 12.5% Female,30,bastiodon,level-up,"monster"
burmy,"shed-skin, overcoat",40,29,45,45,29,36,50% Male, 50% Female,20,wormadam,level-up,"bug"
wormadam-plant,"anticipation, overcoat",60,59,85,105,79,36,Female only,20,wormadam,level-up,"bug"
mothim,"swarm, tinted-lens",70,94,50,50,94,66,Male only,20,wormadam,level-up,"bug"
combee,"honey-gather, hustle",30,30,42,42,30,70,87.5% Male, 12.5% Female,21,vespiquen,level-up,"bug"
vespiquen,"pressure, unnerve",70,80,102,102,80,40,Female only,21,vespiquen,level-up,"bug"
pachirisu,"run-away, pickup, volt-absorb",60,45,70,90,45,95,50% Male, 50% Female,,,,"ground, fairy"
buizel,"swift-swim, water-veil",55,65,35,30,60,85,50% Male, 50% Female,26,floatzel,level-up,"water1, ground"
floatzel,"swift-swim, water-veil",85,105,55,50,85,115,50% Male, 50% Female,26,floatzel,level-up,"water1, ground"
cherubi,"chlorophyll",45,35,45,53,62,35,50% Male, 50% Female,25,cherrim,level-up,"fairy, plant"
cherrim,"flower-gift",70,60,70,78,87,85,50% Male, 50% Female,25,cherrim,level-up,"fairy, plant"
shellos,"sticky-hold, storm-drain, sand-force",76,48,48,62,57,34,50% Male, 50% Female,30,gastrodon,level-up,"water1, indeterminate"
gastrodon,"sticky-hold, storm-drain, sand-force",111,83,68,82,92,39,50% Male, 50% Female,30,gastrodon,level-up,"water1, indeterminate"
ambipom,"technician, pickup, skill-link",75,100,66,66,60,115,50% Male, 50% Female,,ambipom,level-up,"ground"
drifloon,"aftermath, unburden, flare-boost",90,50,34,44,60,70,50% Male, 50% Female,28,drifblim,level-up,"indeterminate"
drifblim,"aftermath, unburden, flare-boost",150,80,44,54,90,80,50% Male, 50% Female,28,drifblim,level-up,"indeterminate"
buneary,"run-away, klutz, limber",55,66,44,56,44,85,50% Male, 50% Female,,lopunny,level-up,"ground, humanshape"
lopunny,"cute-charm, klutz, limber",65,76,84,96,54,105,50% Male, 50% Female,,lopunny,level-up,"ground, humanshape"
mismagius,"levitate",60,60,60,105,105,105,50% Male, 50% Female,,mismagius,use-item,"indeterminate"
honchkrow,"insomnia, super-luck, moxie",100,125,52,52,105,71,50% Male, 50% Female,,honchkrow,use-item,"flying"
glameow,"limber, own-tempo, keen-eye",49,55,42,37,42,85,25% Male, 75% Female,38,purugly,level-up,"ground"
purugly,"thick-fat, own-tempo, defiant",71,82,64,59,64,112,25% Male, 75% Female,38,purugly,level-up,"ground"
chingling,"levitate",45,30,50,50,65,45,50% Male, 50% Female,,chimecho,level-up,"no-eggs"
stunky,"stench, aftermath, keen-eye",63,63,47,41,41,74,50% Male, 50% Female,34,skuntank,level-up,"ground"
skuntank,"stench, aftermath, keen-eye",103,93,67,61,71,84,50% Male, 50% Female,34,skuntank,level-up,"ground"
bronzor,"levitate, heatproof, heavy-metal",57,24,86,86,24,23,Genderless,33,bronzong,level-up,"mineral"
bronzong,"levitate, heatproof, heavy-metal",67,89,116,116,79,33,Genderless,33,bronzong,level-up,"mineral"
bonsly,"sturdy, rock-head, rattled",50,80,95,45,10,10,50% Male, 50% Female,,sudowoodo,level-up,"no-eggs"
mime-jr,"soundproof, filter, technician",20,25,45,90,70,60,50% Male, 50% Female,,mr-mime,level-up,"no-eggs"
happiny,"natural-cure, serene-grace, friend-guard",100,5,5,65,15,30,Female only,,chansey,level-up,"no-eggs"
chatot,"keen-eye, tangled-feet, big-pecks",76,65,45,42,92,91,50% Male, 50% Female,,,,"flying"
spiritomb,"pressure, infiltrator",50,92,108,108,92,35,50% Male, 50% Female,,,,"indeterminate"
gible,"sand-veil, rough-skin",58,70,45,45,40,42,50% Male, 50% Female,24,gabite,level-up,"monster, dragon"
gabite,"sand-veil, rough-skin",68,90,65,55,50,82,50% Male, 50% Female,24,gabite,level-up,"monster, dragon"
garchomp,"sand-veil, rough-skin",108,130,95,85,80,102,50% Male, 50% Female,24,gabite,level-up,"monster, dragon"
munchlax,"pickup, thick-fat, gluttony",135,85,40,85,40,5,87.5% Male, 12.5% Female,,snorlax,level-up,"no-eggs"
riolu,"steadfast, inner-focus, prankster",40,70,40,40,35,60,87.5% Male, 12.5% Female,,lucario,level-up,"no-eggs"
lucario,"steadfast, inner-focus, justified",70,110,70,70,115,90,87.5% Male, 12.5% Female,,lucario,level-up,"ground, humanshape"
hippopotas,"sand-stream, sand-force",68,72,78,42,38,32,50% Male, 50% Female,34,hippowdon,level-up,"ground"
hippowdon,"sand-stream, sand-force",108,112,118,72,68,47,50% Male, 50% Female,34,hippowdon,level-up,"ground"
skorupi,"battle-armor, sniper, keen-eye",40,50,90,55,30,65,50% Male, 50% Female,40,drapion,level-up,"bug, water3"
drapion,"battle-armor, sniper, keen-eye",70,90,110,75,60,95,50% Male, 50% Female,40,drapion,level-up,"bug, water3"
croagunk,"anticipation, dry-skin, poison-touch",48,61,40,40,61,50,50% Male, 50% Female,37,toxicroak,level-up,"humanshape"
toxicroak,"anticipation, dry-skin, poison-touch",83,106,65,65,86,85,50% Male, 50% Female,37,toxicroak,level-up,"humanshape"
carnivine,"levitate",74,100,72,72,90,46,50% Male, 50% Female,,,,"plant"
finneon,"swift-swim, storm-drain, water-veil",49,49,56,61,49,66,50% Male, 50% Female,31,lumineon,level-up,"water2"
lumineon,"swift-swim, storm-drain, water-veil",69,69,76,86,69,91,50% Male, 50% Female,31,lumineon,level-up,"water2"
mantyke,"swift-swim, water-absorb, water-veil",45,20,50,120,60,50,50% Male, 50% Female,,mantine,level-up,"no-eggs"
snover,"snow-warning, soundproof",60,62,50,60,62,40,50% Male, 50% Female,40,abomasnow,level-up,"monster, plant"
abomasnow,"snow-warning, soundproof",90,92,75,85,92,60,50% Male, 50% Female,40,abomasnow,level-up,"monster, plant"
weavile,"pressure, pickpocket",70,120,65,85,45,125,50% Male, 50% Female,,weavile,level-up,"ground"
magnezone,"magnet-pull, sturdy, analytic",70,70,115,90,130,60,Genderless,30,magneton,level-up,"mineral"
lickilicky,"own-tempo, oblivious, cloud-nine",110,85,95,95,80,50,50% Male, 50% Female,,lickilicky,level-up,"monster"
rhyperior,"lightning-rod, solid-rock, reckless",115,140,130,55,55,40,50% Male, 50% Female,42,rhydon,level-up,"monster, ground"
tangrowth,"chlorophyll, leaf-guard, regenerator",100,100,125,50,110,50,50% Male, 50% Female,,tangrowth,level-up,"plant"
electivire,"motor-drive, vital-spirit",75,123,67,85,95,95,75% Male, 25% Female,30,electabuzz,level-up,"humanshape"
magmortar,"flame-body, vital-spirit",75,95,67,95,125,83,75% Male, 25% Female,30,magmar,level-up,"humanshape"
togekiss,"hustle, serene-grace, super-luck",85,50,95,115,120,80,87.5% Male, 12.5% Female,,togetic,level-up,"flying, fairy"
yanmega,"speed-boost, tinted-lens, frisk",86,76,86,56,116,95,50% Male, 50% Female,,yanmega,level-up,"bug"
leafeon,"leaf-guard, chlorophyll",65,110,130,65,60,95,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
glaceon,"snow-cloak, ice-body",65,60,110,95,130,65,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
gliscor,"hyper-cutter, sand-veil, poison-heal",75,95,125,75,45,95,50% Male, 50% Female,,gliscor,level-up,"bug"
mamoswine,"oblivious, snow-cloak, thick-fat",110,130,80,60,70,80,50% Male, 50% Female,33,piloswine,level-up,"ground"
porygon-z,"adaptability, download, analytic",85,80,70,75,135,90,Genderless,,porygon2,trade,"mineral"
gallade,"steadfast, sharpness, justified",68,125,65,115,65,80,Male only,20,kirlia,level-up,"humanshape, indeterminate"
probopass,"sturdy, magnet-pull, sand-force",60,55,145,150,75,40,50% Male, 50% Female,,probopass,level-up,"mineral"
dusknoir,"pressure, frisk",45,100,135,135,65,45,50% Male, 50% Female,37,dusclops,level-up,"indeterminate"
froslass,"snow-cloak, cursed-body",70,80,70,70,80,110,Female only,42,glalie,level-up,"fairy, mineral"
rotom,"levitate",50,50,77,77,95,91,Genderless,,,,"indeterminate"
uxie,"levitate",75,75,130,130,75,95,Genderless,,,,"no-eggs"
mesprit,"levitate",80,105,105,105,105,80,Genderless,,,,"no-eggs"
azelf,"levitate",75,125,70,70,125,115,Genderless,,,,"no-eggs"
dialga,"pressure, telepathy",100,120,120,100,150,90,Genderless,,,,"no-eggs"
palkia,"pressure, telepathy",90,120,100,120,150,100,Genderless,,,,"no-eggs"
